vehicle_id,manufacturer,range,model,derivative,transmission,trim,sector,bodystyle,fueltype,fueldelivery,engine_litres,drivetrain
84966,AUDI,Q2,Q2 ESTATE,35 TFSI Sport 5dr S Tronic,AUTOMATIC,SPORT,4X4 SMALL,ESTATE,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
90378,BMW,X1,X1 ESTATE,sDrive 18i SE 5dr,MANUAL,SE,4X4 MEDIUM,ESTATE,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
79985,VOLKSWAGEN,UP,UP HATCHBACK,1.0 Take Up 5dr [Start Stop],MANUAL,TAKE UP,SMALL,HATCHBACK,PETROL,INJECTION,1.0,FRONT WHEEL DRIVE
88671,AUDI,TT,TT RS COUPE,TT RS TFSI Quattro 2dr S Tronic,AUTOMATIC,"",PRESTIGE COUPE SMALL,COUPE,PETROL,TURBO,2.5,FOUR WHEEL DRIVE
88526,BMW,3 SERIES,3 SERIES SALOON,320i Sport 4dr Step Auto,AUTOMATIC,SPORT,PRESTIGE MEDIUM,SALOON,PETROL,TURBO,2.0,REAR WHEEL DRIVE
86272,JEEP,RENEGADE,RENEGADE HATCHBACK,1.3 T4 GSE Longitude 5dr DDCT,AUTOMATIC,LONGITUDE,MEDIUM,HATCHBACK,PETROL,TURBO,1.3,FRONT WHEEL DRIVE
89745,MERCEDES-BENZ,E CLASS,E CLASS DIESEL SALOON,E350d AMG Line Edition 4dr 9G-Tronic,AUTOMATIC,AMG LINE EDITION,PRESTIGE LARGE,SALOON,DIESEL,TURBO,2.9,REAR WHEEL DRIVE
85093,SEAT,LEON,LEON HATCHBACK,1.5 TSI EVO 150 FR [EZ] 5dr,MANUAL,FR,MEDIUM,HATCHBACK,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
87803,MERCEDES-BENZ,A CLASS,A CLASS DIESEL HATCHBACK,A200d Sport Executive 5dr Auto,AUTOMATIC,SPORT,PRESTIGE LOWER,HATCHBACK,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
81796,VOLKSWAGEN,T-ROC,T-ROC HATCHBACK,1.0 TSI SE 5dr,MANUAL,SE,MEDIUM,HATCHBACK,PETROL,TURBO,1.0,FRONT WHEEL DRIVE
